"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","fly"
"TRINITY_DN1004_c8_g2",341.653758239666,-0.791103266602545,0.264092238006645,0.000603688847111921,0.0239251045581121,FALSE,"M9NDF9_DROME"
"TRINITY_DN10056_c0_g1",288.517437841399,0.7075429410121,0.324943455987435,0.00726099442149999,0.0961873276850508,TRUE,"SEM1_DROME"
"TRINITY_DN10080_c0_g1",5902.7069316591,0.743104668885511,0.333271107888189,0.00545743364087702,0.0819089997234949,FALSE,"A1ZAH8_DROME"
"TRINITY_DN10093_c0_g1",93.8659837576934,-1.02031420204795,0.581874399773173,0.000356366692414196,0.0174524133794272,FALSE,"Q9VEZ2_DROME"
"TRINITY_DN10095_c2_g1",44.708140035458,-1.05623574331883,0.587951043887483,0.000259426927814034,0.0142949915868163,FALSE,"M9PJK5_DROME"
"TRINITY_DN10102_c0_g1",423.035316220597,-0.73719726673539,0.261048209303264,0.00126225067459508,0.0360126951707937,FALSE,"M9PG43_DROME"
"TRINITY_DN10207_c0_g1",26.761780544444,0.781721408883314,0.434852504632656,0.00746763386947435,0.0975866985702768,TRUE,"DPOE3_DROME"
"TRINITY_DN10264_c0_g1",1006.24866998689,0.725137161933892,0.280144982795514,0.00254975936184476,0.053358665275969,TRUE,"RHEB_DROME"
"TRINITY_DN10340_c0_g2",30511.6762050641,0.782028899849923,0.452521694028522,0.00737941369161634,0.0969878226211689,TRUE,"X2JB48_DROME"
"TRINITY_DN1047_c1_g1",8785.91122113376,0.709416000573172,0.329787249489129,0.00758608319603498,0.0984278110256687,FALSE,"A8Y560_DROME"
"TRINITY_DN1056_c0_g1",1405.88669661452,0.45697458122569,0.162704855371295,0.00315214481339437,0.0598388716590398,FALSE,"WAC_DROME"
"TRINITY_DN10598_c0_g1",39.5229311229033,-1.02448541087468,0.458742045927752,0.000656832023393969,0.0249047294433262,FALSE,"Q9VDR6_DROME"
"TRINITY_DN106160_c0_g1",77.2348179017759,-0.874706715926671,2.35432323498708,0.00060817200558163,0.0239725063083619,FALSE,"NU1M_DROME"
"TRINITY_DN10667_c0_g1",858.54704777776,-1.23121978364435,0.311409755576584,2.37478162758369e-06,0.000588400523415163,FALSE,"A8JR02_DROME"
"TRINITY_DN1071_c0_g1",583.513036652687,0.87294197479761,0.34354693693337,0.00137481482049867,0.0376627198450942,FALSE,"Q9VC26_DROME"
"TRINITY_DN10744_c0_g1",836.228738609845,0.861920878131761,0.379275774455054,0.00249853106029981,0.0527675010104711,FALSE,"Q8T8Y5_DROME"
"TRINITY_DN108109_c0_g1",7297.77164643103,0.740454379435866,0.320718728652107,0.00468003334119051,0.0745440167759435,FALSE,"A0A0B4K6N1_DROME"
"TRINITY_DN10839_c0_g1",33.9581956750857,-1.70219754953477,0.770377567371503,1.24020608466925e-06,0.000364835022250572,FALSE,"Q9VGN6_DROME"
"TRINITY_DN10888_c0_g1",1018.3874863044,0.826354545657608,0.426334379909373,0.00480352047891265,0.075789130424127,FALSE,"Q9VXI6_DROME"
"TRINITY_DN11005_c0_g1",4150.0989374073,0.804341921819848,0.416691368251105,0.00579646976527588,0.0849260259214687,FALSE,"Q9VIQ8_DROME"
"TRINITY_DN11037_c0_g1",63.6067471247424,0.970739067123147,0.366301513208448,0.000590896397959085,0.0236139708665871,FALSE,"O96532_DROME"
"TRINITY_DN11109_c0_g1",6128.59664012218,0.819866324655288,0.356915714006113,0.0031184054849426,0.0595362700147518,FALSE,"RS17_DROME"
"TRINITY_DN1116_c0_g1",343.776920908099,-1.23540009115202,0.460131791590556,5.97682077488966e-05,0.00572832888536631,TRUE,"MY31D_DROME"
"TRINITY_DN1116_c0_g2",1043.25026070722,-1.01059363931255,0.362615653905856,0.000334900407984478,0.016879797324701,TRUE,"MY61F_DROME"
"TRINITY_DN1117_c1_g3",16.0483594174166,-0.596502632837939,0.648532948337156,0.00335863051041342,0.06230883635209,FALSE,"Q9VB22_DROME"
"TRINITY_DN11231_c0_g1",159.034712962632,-0.919241791700723,0.510119945439736,0.00152192422564246,0.0400841286799328,FALSE,"NOCT_DROME"
"TRINITY_DN11306_c0_g1",260.829428360177,0.775575547719785,0.371294191613907,0.00587155358935501,0.0854691646028951,FALSE,"ASND1_DROME"
"TRINITY_DN11442_c0_g1",147.217129261982,-0.786560659456094,0.456227931157906,0.00702690028240216,0.0946586877955238,FALSE,"M9PFL2_DROME"
"TRINITY_DN11442_c1_g1",34.1644552953159,0.746686513250926,0.5866916480515,0.00241894303610854,0.0519849599868753,FALSE,"Q9VQK3_DROME"
"TRINITY_DN11462_c0_g1",167.513361528329,0.994486005421885,0.505466660761012,0.000774657208081545,0.0272525383797422,FALSE,"Q9VMR0_DROME"
"TRINITY_DN1149_c0_g1",177.572427916465,0.925523317766337,0.377096769864735,0.00118316491568408,0.0347853347215827,FALSE,"PNO1_DROME"
"TRINITY_DN1159_c2_g2",60.7144877940708,-0.56229216614239,0.61551413743775,0.00541280797578338,0.081628951299359,TRUE,"GAR1_DROME"
"TRINITY_DN116765_c0_g1",141.041333984912,0.802654070152536,0.27277600061885,0.000673915605558409,0.0252939829470401,FALSE,"Q9VF82_DROME"
"TRINITY_DN117538_c0_g1",2956.4205064058,-8.67115605539538,7.43328450928853,1.58988299611817e-05,0.00234273111617431,FALSE,"COX1_DROME"
"TRINITY_DN117845_c0_g1",940.032210022065,-3.05603445491893,5.5092275820049,0.000110346491880525,0.00835063304731151,FALSE,"COX1_DROME"
"TRINITY_DN118077_c0_g1",1926.143414828,0.657927781954114,0.610696126408203,0.00323190679052367,0.0606381112175042,FALSE,"COX1_DROME"
"TRINITY_DN1184_c0_g1",6198.35130180396,-0.773518399771236,0.392291835459573,0.00700533058687442,0.0946370366721981,FALSE,"Q8SXX2_DROME"
"TRINITY_DN1189_c1_g1",3779.73160995061,-1.00923982655573,0.357079096833159,0.000307841980201176,0.0161484140990595,FALSE,"CAD86_DROME"
"TRINITY_DN118_c0_g1",800.719646272921,1.0886815885958,0.379367641676641,0.000162005082939758,0.0106316083703472,FALSE,"Y1760_DROME"
"TRINITY_DN11948_c0_g1",479.445450130124,-0.818580158390468,0.450759143007702,0.00526148382619346,0.0801783018233918,TRUE,"Q9VPG1_DROME"
"TRINITY_DN1196_c0_g2",41.4822808376183,1.16583426022626,0.430162673948183,0.000114912726983813,0.00852265145206553,TRUE,"A1Z7U2_DROME"
"TRINITY_DN1198_c0_g1",186.33085246733,-0.85764292741021,0.352105619311895,0.0018887432797557,0.0450139508813858,TRUE,"Q8SXR7_DROME"
"TRINITY_DN12083_c0_g1",79.9675969580915,0.754351960019353,0.322008150280498,0.00405451987963712,0.0691584066567985,FALSE,"Q95RV5_DROME"
"TRINITY_DN1213_c0_g1",190.500270498438,0.711831760398916,0.328762918204731,0.00728778064916193,0.0964657597680322,FALSE,"A1ZA18_DROME"
"TRINITY_DN12183_c0_g1",348.064400584073,-0.812040482684325,0.452409846841309,0.00558437747799443,0.0830555101206918,FALSE,"Q9VAC1_DROME"
"TRINITY_DN1231_c0_g2",80.2192515840042,-0.998782288670604,0.434498221299553,0.000820755257276705,0.0280130443518729,FALSE,"POXM_DROME"
"TRINITY_DN1244_c0_g2",177.750417139038,0.748744524915871,0.371566659253322,0.00776368311703185,0.0995734035972386,FALSE,"Q9VPC2_DROME"
"TRINITY_DN12492_c0_g1",307.071264855692,1.15439923634609,0.438609435998559,0.000140537057200381,0.00967247742036121,FALSE,"Q9W3B3_DROME"
"TRINITY_DN124_c2_g1",874.442966239316,-0.969528322395666,0.416950045714338,0.00103438976230193,0.0323660459861901,FALSE,"A0A0B4K623_DROME"
"TRINITY_DN1253_c2_g1",357.063911578804,-1.07480860040939,0.438607599874402,0.000356885131140788,0.0174524133794272,FALSE,"B7YZM7_DROME"
"TRINITY_DN1253_c4_g2",358.694118155857,-0.548217366026343,0.214788796309609,0.00528122782305538,0.0803693309615011,FALSE,"Q9VH77_DROME"
"TRINITY_DN1255_c0_g1",285.470256969229,0.882577215940886,0.310408435369143,0.000611536308444512,0.0240151465373075,FALSE,"Q8SXX5_DROME"
"TRINITY_DN125_c2_g1",1357.82296675224,0.827883100100265,0.241516439567098,0.000124303652366842,0.00898067638464818,FALSE,"FKB12_DROME"
"TRINITY_DN12606_c0_g1",4014.07514075391,0.76161484270542,0.37927028239024,0.00723354353889915,0.0958616473187946,FALSE,"M9PH59_DROME"
"TRINITY_DN1267_c1_g1",213.785499335249,0.631697861992061,0.228540952755987,0.00222618997179927,0.0493137936203403,FALSE,"Q9VAR0_DROME"
"TRINITY_DN126_c0_g1",258.992356687604,0.923751627239589,0.382356330915297,0.00128342375318772,0.0364424797286724,TRUE,"SMAL1_DROME"
