"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot","fly"
"TRINITY_DN10135_c0_g1",140.638055111588,0.520131050825477,0.32215200321109,0.000796177821011542,0.0310634366740321,FALSE,"MCAT_HUMAN","COLT_DROME"
"TRINITY_DN10459_c0_g1",16.0731339889689,0.493120726266245,0.633304222353759,0.00220974595751705,0.0548702876059303,FALSE,"RL21_HUMAN","Q9V9M7_DROME"
"TRINITY_DN10528_c0_g1",74.72636332517,0.333274074881775,0.166216122878424,0.00338971311064552,0.0703471842209279,FALSE,"NUBP2_NEMVE","NUBP2_DROME"
"TRINITY_DN105_c0_g1",1140.02467898826,0.553032706657178,0.48772894608667,0.0016912468300764,0.0473762952290537,TRUE,"ENPL_PIG","Q9VAY2_DROME"
"TRINITY_DN1070_c1_g1",1071.19566014177,-0.899681795070546,0.404787759170383,4.6106034965867e-05,0.00547750738756169,FALSE,"PTHD3_MOUSE","Q86P36_DROME"
"TRINITY_DN10761_c0_g1",237.773290300331,-0.798438364306957,0.612117937157481,0.000527940619760497,0.024645510343643,TRUE,"ERCC2_MOUSE","Q7KVP9_DROME"
"TRINITY_DN109172_c0_g2",3.62895784243847,0.217306312122122,0.559686985531167,0.00230557055256686,0.0561356985271821,FALSE,"F263_HUMAN","Q9VWH7_DROME"
"TRINITY_DN10932_c0_g1",27.9526763458619,0.76042994293081,0.788895823472382,0.000524790063719156,0.0246386057376524,TRUE,"CO1A1_HUMAN","Q9VN36_DROME"
"TRINITY_DN1099_c0_g1",420.572290342486,-0.549328423673945,0.395168924026818,0.00107373663285035,0.0369842617981787,FALSE,"B3GT4_RAT","Q9VLS8_DROME"
"TRINITY_DN11003_c0_g1",951.915842388234,0.403585374196484,0.184032661783774,0.000947563548987566,0.034274677870398,TRUE,"SERP2_BOVIN","Q8SYY6_DROME"
"TRINITY_DN11146_c0_g1",310.868041392566,0.57152967577001,0.460788240763165,0.00130115147726949,0.041041089521505,FALSE,"AIFM1_HUMAN","M9PBQ4_DROME"
"TRINITY_DN11229_c0_g1",27.1320517212456,-0.441532747907999,0.516799490196524,0.00388357294450313,0.0757993971657079,FALSE,"TM198_XENTR","Q9VWD2_DROME"
"TRINITY_DN11231_c0_g1",158.815332397841,-0.897246626157812,0.64493476580156,0.000347573240106492,0.019316115080428,FALSE,"NOCT_DROME","NOCT_DROME"
"TRINITY_DN11442_c1_g1",34.2346855002225,-0.837271113993361,0.849739517858202,0.000311929909953639,0.0180165630669001,FALSE,"APG_BRANA","Q9VQK3_DROME"
"TRINITY_DN11479_c0_g2",9.70730818323243,-0.163757793376567,0.453986986563142,0.00613287911546509,0.0977482451294985,TRUE,"TBX2_CANLF","Q9W3F4_DROME"
"TRINITY_DN115526_c0_g2",3.697461718151,0.18310337837364,0.486777680832964,0.0043606182630141,0.0805162087838061,TRUE,"NEDD4_MOUSE","B7YZY9_DROME"
"TRINITY_DN1159_c2_g2",60.7667781391948,-0.896129772900107,0.990292833570167,0.000124397287038945,0.0100942420239373,TRUE,"DHX9_MOUSE","GAR1_DROME"
"TRINITY_DN1170_c1_g1",619.260880453004,-0.327005291850164,0.196584826912616,0.00561825947717372,0.0928498692437539,FALSE,"KLHL5_HUMAN","X2JD28_DROME"
"TRINITY_DN118177_c1_g1",180.070886546261,-0.434660999032683,0.695854103015691,0.00112288523592505,0.0381457610584023,FALSE,"K1C10_MOUSE","Q9W1U9_DROME"
"TRINITY_DN11852_c0_g1",52.2834135517602,-1.02795836242853,0.789184972792175,0.000215991284784692,0.0141649334472629,FALSE,"MYB_XENLA","Q53YG3_DROME"
"TRINITY_DN1189_c1_g1",3774.10894800322,-0.385921210505521,0.261648035037969,0.00327044505377611,0.0686957287708959,FALSE,"S6A13_RAT","CAD86_DROME"
"TRINITY_DN11902_c0_g1",7.63365710177455,0.312551744357385,0.557593784685131,0.00394005147262842,0.0762270676878094,TRUE,"RS3_CANLF","G3M3A2_DROME"
"TRINITY_DN11944_c0_g2",3.0566080315979,0.242651926438139,0.516834111290626,0.00430256274687233,0.0798156567535737,FALSE,"RL38_MOUSE","A0A0B4KED0_DROME"
"TRINITY_DN1217_c0_g2",260.768884445814,-1.04869483159893,0.76731101914949,0.000203167599947762,0.0137806672921832,FALSE,"NOS_DROME","NOS_DROME"
"TRINITY_DN12200_c0_g1",26.9754584034501,-0.307219604815697,0.52852271871402,0.00570154463305943,0.0934478690788096,FALSE,"NAAT1_DROPE","NAAT1_DROME"
"TRINITY_DN1249_c1_g1",4283.3890322531,0.669977843803417,0.679590896944343,0.00103803904683604,0.0362152890663588,TRUE,"ADAT1_MOUSE","Q9VIU8_DROME"
"TRINITY_DN12520_c0_g1",486.949959099085,0.535087469075325,0.591596668981149,0.0021571617220694,0.0540859446476306,FALSE,"SAHH_ANOGA","SAHH3_DROME"
"TRINITY_DN1253_c2_g1",356.598976981423,-0.483947556019575,0.3926804546014,0.00207035726975326,0.0528647210191824,FALSE,"KDISB_DANRE","B7YZM7_DROME"
"TRINITY_DN12834_c0_g1",17.9124603713909,0.519617746058986,0.578984066427533,0.00236649023866411,0.0567043071679902,FALSE,"LDAH_CHICK","LDAH_DROME"
"TRINITY_DN12955_c2_g1",6.63568779477447,0.415128871547305,0.670780107956135,0.00140960858333248,0.0432655520362534,FALSE,"RS16_BOVIN","A0A0B4LG52_DROME"
"TRINITY_DN13063_c1_g1",62.2470672716653,-1.09852138347525,0.727065949807151,0.000162453864454549,0.0118495759955083,FALSE,"SPR_DROME","SPR_DROME"
"TRINITY_DN131834_c0_g1",5.4098087772752,-0.366783918213142,0.562345565567295,0.00431642945110176,0.0798861570054655,FALSE,"UBE2C_XENLA","UBE2C_DROME"
"TRINITY_DN13237_c0_g1",218.064789520142,-0.408519229762019,0.217988726684361,0.00147240610830194,0.044176535124441,FALSE,"HLF_HUMAN","Q24217_DROME"
"TRINITY_DN133160_c1_g1",5.98385061537688,-0.131803361663083,0.54123273066309,0.00409390850932936,0.077531925318172,FALSE,"1433_DICDI","1433E_DROME"
"TRINITY_DN1337_c0_g2",696.410896377342,-0.457897000406396,0.237260882220655,0.000744857291815847,0.0300670776594637,FALSE,"EXD_DROPS","M9PHV1_DROME"
"TRINITY_DN13997_c0_g2",405.644851109662,0.367918218682517,0.233292543917544,0.00358674458589844,0.0725405052833562,FALSE,"ARMET_DROYA","ARMET_DROME"
"TRINITY_DN1410_c0_g1",395.78242662908,0.740850749887422,0.379002804512014,0.000122582141243752,0.00998780156992216,FALSE,"TMX2_DROME","TMX2_DROME"
"TRINITY_DN14125_c1_g1",39.0654084698962,-1.09686087496666,0.656990237987126,0.000139056921715378,0.010821742776495,FALSE,"CHS2_CAEEL","Q9VNW7_DROME"
"TRINITY_DN14341_c0_g1",25.7727966541178,-0.387264088122691,0.506920419487351,0.00540926470019997,0.0911420905749192,FALSE,"ZN423_RAT","A0A0B4JD76_DROME"
"TRINITY_DN1449_c0_g1",454.013988694412,0.32279173128074,0.126090153563557,0.00141943806250694,0.0433589702234607,TRUE,"U2AF2_DROME","M9NF89_DROME"
"TRINITY_DN14889_c0_g1",59.9709560291103,-0.573313294742871,0.328998868222549,0.000424062321440376,0.0215728114291719,FALSE,"STAR3_HUMAN","STRT1_DROME"
"TRINITY_DN1501_c6_g1",6.28381220553281,0.284773047887465,0.627728843866973,0.00141725283713383,0.0433255720935827,FALSE,"1433B_MOUSE","1433E_DROME"
"TRINITY_DN154073_c0_g1",29.005895606353,0.244633025617221,0.497295250433167,0.00627250674527584,0.0987106791032981,FALSE,"NLTP_MOUSE","Q9VJ43_DROME"
"TRINITY_DN15449_c1_g1",61.1308648658966,0.472398566359266,0.330162550948637,0.00159381494788644,0.0459277974815788,FALSE,"DCPS_RAT","Q9VNH5_DROME"
"TRINITY_DN15713_c1_g1",54.7297381332965,-0.403940692812362,0.439396867957195,0.0050215347895839,0.0872774859617561,TRUE,"EBNA2_EBVB9","GAR1_DROME"
"TRINITY_DN15720_c0_g1",6.8877835157666,0.447945279368614,0.711391919244369,0.000984420453305101,0.0351275212114626,TRUE,"PRDX6_MOUSE","Q7JX87_DROME"
"TRINITY_DN15731_c0_g1",62.7634899340143,-0.416291562779349,0.434833770013294,0.00449888971843514,0.0820145398256148,FALSE,"TBC16_HUMAN","Q9VKV6_DROME"
"TRINITY_DN15784_c0_g1",5.83573358186047,0.455243042790476,0.612547148610031,0.0026994160773411,0.0612073313993685,FALSE,"HINT1_MOUSE","Q86BQ4_DROME"
"TRINITY_DN1582_c0_g1",37.5892264934944,0.44593721576569,0.357177234570058,0.00259375957898897,0.0598574575386845,FALSE,"MCCB_MOUSE","MCCB_DROME"
"TRINITY_DN1582_c0_g2",64.3590974324437,0.419427036948542,0.310058043459071,0.00275510503488928,0.0619002729731169,FALSE,"MCCB_RAT","MCCB_DROME"
"TRINITY_DN15975_c0_g2",86.7052446616977,-0.438497382331874,0.424232940968398,0.00362023164598019,0.072919183610403,FALSE,"SCRB2_MOUSE","Q7KVF1_DROME"
"TRINITY_DN1602_c0_g2",131.397842227755,-0.461708756834989,0.314248316287675,0.00161936072697749,0.0462941164599905,TRUE,"F261_MOUSE","Q9VWH7_DROME"
"TRINITY_DN16098_c0_g1",22.1112260434253,0.395434721899245,0.447545960397766,0.00541262263751689,0.0911599602108108,FALSE,"XYL2_ASPCL","O96299_DROME"
"TRINITY_DN160_c0_g1",831.40408116293,-0.392254930144888,0.117405279503827,7.92972222117701e-05,0.00761867742702914,TRUE,"FNBP1_XENLA","Q9VZD7_DROME"
"TRINITY_DN16356_c0_g1",31.4911584214773,0.396579218149026,0.433191919633633,0.0053071165177295,0.0899835321104958,FALSE,"SYRM_HUMAN","Q8SXK2_DROME"
"TRINITY_DN1668_c0_g1",358.285028723978,0.52948667317151,0.716746734091856,0.00112680304126022,0.0381457610584023,TRUE,"SL9A1_MOUSE","B7YZY3_DROME"
"TRINITY_DN1673_c1_g1",1348.81098095172,-0.389698794010938,0.219753820657342,0.0021527260807132,0.0540292035943706,FALSE,"CSCL2_MOUSE","Q6NP91_DROME"
"TRINITY_DN167493_c0_g1",5.1068844019338,0.319969362129619,0.613020196833064,0.00183008104753293,0.0497380931274703,FALSE,"GPAT4_PONAB","A0A0B4LHH1_DROME"
"TRINITY_DN1675_c0_g1",342.602007140394,0.390940955110925,0.31338408170766,0.00405093905461511,0.0770719849534351,FALSE,"TSAC_COMTE","Q9VNF4_DROME"
"TRINITY_DN1684_c0_g1",171.308566147057,-0.426207405274481,0.293652554963307,0.00225548550480397,0.0555541060401126,FALSE,"WSCD_AEDAE","WCSD_DROME"
"TRINITY_DN1701_c1_g1",424.759242099572,-0.378808978155393,0.313405532800815,0.00472229147406552,0.0843716818577648,FALSE,"SEM5B_MOUSE","Q7YU67_DROME"
"TRINITY_DN17125_c0_g1",17.3468335340169,0.513781199414266,0.548072206448689,0.00247949621206152,0.0583895606496149,TRUE,"ML12A_HUMAN","F6J1D0_DROME"
"TRINITY_DN1778_c0_g1",427.255392063839,-1.24422656150823,0.6713039803795,7.50125924356644e-05,0.00735393728494681,FALSE,"NAAT1_DROME","NAAT1_DROME"
"TRINITY_DN1779_c0_g1",883.879747445596,-0.424869302045974,0.449681967720849,0.0042790888017382,0.0796530774183191,FALSE,"REF2P_DROSI","REF2P_DROME"
"TRINITY_DN17878_c0_g1",59.1116595629728,-0.666109471525775,0.56793064712858,0.000998764081512977,0.0353532192278634,TRUE,"FNIP2_MOUSE","E3CTN7_DROME"
"TRINITY_DN179_c0_g1",227.297093875787,-1.30320907593734,0.450839598756209,9.5010494682772e-06,0.00182126397536831,FALSE,"SC6A5_HUMAN","Q9W1J0_DROME"
"TRINITY_DN18140_c2_g1",6.44339592372924,-0.412585901567565,0.699755761581942,0.000997173122907087,0.0353284192115654,FALSE,"RDRP_GFKVM","Q2PDM3_DROME"
"TRINITY_DN182042_c0_g1",9.77338025865331,-0.956141098634107,0.909801711935253,0.000169633814474121,0.0122606006527015,FALSE,"CHAO_DROME","A0A0B4KI35_DROME"
"TRINITY_DN18209_c0_g2",70.1583460768462,0.948384723723505,0.361219982795672,1.33494213309238e-05,0.00233350237185488,TRUE,"TF2H4_HUMAN","Q9VUR1_DROME"
"TRINITY_DN1858_c0_g1",452.960423550436,0.723756128695925,0.315184372289969,4.28455701965931e-05,0.00527985163167954,FALSE,"HSDL2_DANRE","Q9VB10_DROME"
"TRINITY_DN192707_c0_g1",224.217918548253,-12.8403016537569,9.54280500169024,6.15890781659512e-06,0.00135769701201386,FALSE,"COX3_LOCMI","COX3_DROME"
