"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot"
"TRINITY_DN10093_c0_g1",93.9687919946487,-1.4297755108448,1.20439505969054,3.26223134188525e-05,0.00592460163702383,FALSE,"AP21_ORYSI"
"TRINITY_DN10095_c2_g1",44.4880881450994,-0.640868209501919,0.776341955279777,0.000541183830145427,0.0318506643057294,FALSE,"TENM_DROME"
"TRINITY_DN10192_c0_g1",5.43299256206507,0.436565596189636,0.753722366013613,0.000629701008479092,0.0347098612510695,FALSE,"ESPN_MOUSE"
"TRINITY_DN10319_c0_g1",29.255918880902,-0.461182354913979,0.344263347403149,0.00361259382064932,0.0911283578329328,FALSE,"Y7791_DICDI"
"TRINITY_DN10385_c0_g1",13.5601934249624,6.49612064632006,10.548594271994,2.05608200003523e-05,0.00429500528350708,FALSE,"SOX14_DROME"
"TRINITY_DN1058_c0_g1",589.073074718065,0.451627796403871,0.208042014434324,0.00320168238755552,0.0853077460171643,FALSE,"EMC10_BOVIN"
"TRINITY_DN10839_c0_g1",33.8533108729953,-0.808630541856449,0.793121400554394,0.000282601449688313,0.0219199645565412,FALSE,"S35G1_HUMAN"
"TRINITY_DN109840_c0_g2",10.8244079450621,-0.344045666501584,0.635572423409591,0.00132955046806566,0.0523526202499679,FALSE,"KIBRA_DROMO"
"TRINITY_DN11050_c0_g1",20.871918963187,-0.577473725679017,0.943592014506619,0.000231880148110044,0.0194587423600208,FALSE,"043R_FRG3G"
"TRINITY_DN1121_c4_g1",13.2452813277846,0.327995412761123,0.628603217088114,0.00133507255874474,0.0523818475081774,FALSE,"Y258_HAEIN"
"TRINITY_DN1121_c7_g1",14.2003236353147,-0.367864330108457,0.613892878010778,0.0017867741343742,0.0616361492836818,FALSE,"RN207_DANRE"
"TRINITY_DN11333_c1_g1",21.4201695846116,-0.214488112085939,0.54524780423475,0.0021539128238038,0.0684954734710328,FALSE,"SET1B_HUMAN"
"TRINITY_DN11366_c0_g1",795.232933650998,0.786076511253097,0.966266160684495,0.000210977851493414,0.0182717330745328,FALSE,"DEAHB_ARATH"
"TRINITY_DN1139_c1_g1",789.893392703443,-0.474691455019318,0.366652690548679,0.00295341187681532,0.0812827044774416,FALSE,"MTSS1_MOUSE"
"TRINITY_DN1143_c0_g3",100.682451406405,-0.457251685919286,0.453531713466555,0.00286012559204629,0.0799149533207946,FALSE,"PERK2_ARATH"
"TRINITY_DN11442_c1_g1",34.5352912744181,2.06340374191038,1.74405702344537,5.36630695618897e-06,0.00164754007689066,FALSE,"APG_BRANA"
"TRINITY_DN11684_c0_g1",71.6071798882259,0.453755249794052,0.860298576365528,0.000330773006731532,0.024082847843885,FALSE,"CS012_DANRE"
"TRINITY_DN11852_c0_g1",52.3850225225924,1.1737957256056,1.17314217421843,5.97029480785077e-05,0.00852154357993698,FALSE,"MYB_XENLA"
"TRINITY_DN118641_c0_g1",473.189577087351,-0.209831087828599,0.52531508803013,0.00257534605475683,0.0755163270841223,TRUE,"PCKGC_HUMAN"
"TRINITY_DN11902_c0_g3",12.9547812931956,0.780453846929935,0.978788740166747,0.000201082136966714,0.0178718635288268,TRUE,"RS31_XENLA"
"TRINITY_DN11904_c0_g2",3.72153578793623,0.375464133304219,0.948288318892965,0.000293366694102691,0.0223804760742416,FALSE,"TAPT1_DICDI"
"TRINITY_DN1196_c0_g2",41.9198971898985,0.639787966991015,0.507327197857079,0.000612204829244329,0.034226466267631,TRUE,"DNAL1_MOUSE"
"TRINITY_DN121203_c0_g1",13.4146700210693,0.223235904008977,0.526393733359088,0.00261980111871379,0.0761641928665968,FALSE,"EPOP_MOUSE"
"TRINITY_DN12121_c2_g1",97.0429075612852,-0.490873886031871,0.302041190592257,0.002680397773188,0.0770586653376292,FALSE,"TGO1_DROME"
"TRINITY_DN1217_c0_g2",261.644473007604,0.413203301564238,0.580371077618638,0.00226021755005878,0.0703834348025981,FALSE,"NOS_DROME"
"TRINITY_DN124_c2_g1",874.725166092337,-0.826262848052442,0.614853412948471,0.000182793851325445,0.0170602921029954,FALSE,"C1TC_HUMAN"
"TRINITY_DN1256_c1_g1",867.56402981816,-0.786169377643902,0.813480771068876,0.000307813650230101,0.0231023993585189,FALSE,"LRC15_HUMAN"
"TRINITY_DN12603_c0_g1",57.8773254927637,0.634067652288212,0.889483162081275,0.000328512522947079,0.0239720562471968,FALSE,"YG31B_YEAST"
"TRINITY_DN12664_c0_g1",23.2152351768781,-0.714170626855986,0.775759235026397,0.000423968426791059,0.027698511770167,FALSE,"TARA_MOUSE"
"TRINITY_DN1267_c1_g1",214.170379431523,0.629314445291925,0.214160432327977,8.65960100686007e-05,0.0108004926968982,FALSE,"SCYL2_HUMAN"
"TRINITY_DN126_c0_g1",259.285618819828,0.548236387721742,0.379510223543707,0.00129774354321288,0.0518373194380445,TRUE,"SMAL1_XENLA"
"TRINITY_DN1278_c0_g1",433.222367423831,-0.519067577742513,0.308153064077115,0.00181079437817535,0.0620668901229231,FALSE,"KPBB_DROME"
"TRINITY_DN12835_c0_g1",96.079864138592,-0.400014033824486,0.556676513433408,0.00268589616942796,0.0771483849857761,FALSE,"TXG1A_SCOMO"
"TRINITY_DN12844_c0_g1",110.954455349302,-0.565282217320099,0.370914073222748,0.00105620655417311,0.0460642342336143,FALSE,"SSGP_VOLCA"
"TRINITY_DN1288_c5_g1",1467.01717183762,-0.777243852314944,0.58299047399978,0.000237698194859289,0.0198226738190928,TRUE,"NOTCH_DROME"
"TRINITY_DN1288_c8_g2",22.9799956242027,0.40808067976364,0.658027658266137,0.00130762912105243,0.0519173889195534,FALSE,"MICA1_MOUSE"
"TRINITY_DN13033_c0_g1",92.626904038108,-0.726231479377181,0.771673116330292,0.000406058883989518,0.0268824499020788,FALSE,"CP135_DANRE"
"TRINITY_DN131587_c0_g1",11.7583013855858,-0.882549503341929,0.826230853100504,0.00020607359590852,0.0181188107166023,FALSE,"MYBQ_DICDI"
"TRINITY_DN1318_c0_g1",280.944796306122,-0.612471624291734,0.583362712154839,0.000803610753185281,0.0398100178921466,FALSE,"PLXB_DROME"
"TRINITY_DN13310_c0_g1",64.4639316725483,0.372775083934168,0.575481488683899,0.00249377056842974,0.0743730398937575,FALSE,"EI2BB_RABIT"
"TRINITY_DN13770_c0_g2",77.7749327191764,-0.559286848467991,0.435933847839872,0.00118617262062961,0.0491663806400559,FALSE,"LPHN_DROMO"
"TRINITY_DN13843_c0_g1",39.2199631248454,0.295684757090156,0.528408087462038,0.00362831086598265,0.0913374816250578,FALSE,"PERK2_ARATH"
